"","subject","trial","condition","trialtype","Looks","time","time_bin","condition_num"
"177",11788555,"76","unrelated","TCRU",0,570.299999713898,500,-0.5
"178",11788555,"76","cohort","TCRU",1,570.299999713898,500,0.5
"179",11788555,"76","unrelated","TCRU",0,604.199999809265,600,-0.5
"180",11788555,"76","cohort","TCRU",0,604.199999809265,600,0.5
"181",11788555,"76","unrelated","TCRU",0,637.499999523163,600,-0.5
"182",11788555,"76","cohort","TCRU",0,637.499999523163,600,0.5
"183",11788555,"76","unrelated","TCRU",0,671.39999961853,600,-0.5
"184",11788555,"76","cohort","TCRU",0,671.39999961853,600,0.5
"185",11788555,"76","unrelated","TCRU",0,706.699999809265,700,-0.5
"186",11788555,"76","cohort","TCRU",0,706.699999809265,700,0.5
"187",11788555,"76","unrelated","TCRU",0,739.199999809265,700,-0.5
"188",11788555,"76","cohort","TCRU",0,739.199999809265,700,0.5
"189",11788555,"76","unrelated","TCRU",0,780.899999618535,700,-0.5
"190",11788555,"76","cohort","TCRU",0,780.899999618535,700,0.5
"191",11788555,"76","unrelated","TCRU",0,813.999999523165,800,-0.5
"192",11788555,"76","cohort","TCRU",0,813.999999523165,800,0.5
"193",11788555,"76","unrelated","TCRU",0,849.999999523165,800,-0.5
"194",11788555,"76","cohort","TCRU",0,849.999999523165,800,0.5
"195",11788555,"76","unrelated","TCRU",0,884.199999809265,800,-0.5
"196",11788555,"76","cohort","TCRU",0,884.199999809265,800,0.5
"197",11788555,"76","unrelated","TCRU",0,931.299999713895,900,-0.5
"198",11788555,"76","cohort","TCRU",0,931.299999713895,900,0.5
"199",11788555,"76","unrelated","TCRU",0,962.499999523165,900,-0.5
"200",11788555,"76","cohort","TCRU",0,962.499999523165,900,0.5
"201",11788555,"76","unrelated","TCRU",0,998.899999618535,900,-0.5
"202",11788555,"76","cohort","TCRU",0,998.899999618535,900,0.5
"203",11788555,"76","unrelated","TCRU",0,1034.69999980927,1000,-0.5
"204",11788555,"76","cohort","TCRU",0,1034.69999980927,1000,0.5
"205",11788555,"160","unrelated","TCUU",0,-79.6999998092653,-100,-0.5
"206",11788555,"160","unrelated2","TCUU",1,-79.6999998092653,-100,-0.5
"207",11788555,"160","cohort","TCUU",0,-79.6999998092653,-100,0.5
"208",11788555,"160","unrelated","TCUU",0,-44.0000000000003,-100,-0.5
"209",11788555,"160","unrelated2","TCUU",1,-44.0000000000003,-100,-0.5
"210",11788555,"160","cohort","TCUU",0,-44.0000000000003,-100,0.5
"211",11788555,"160","unrelated","TCUU",0,-11.8999996185303,-100,-0.5
"212",11788555,"160","unrelated2","TCUU",1,-11.8999996185303,-100,-0.5
"213",11788555,"160","cohort","TCUU",0,-11.8999996185303,-100,0.5
"214",11788555,"160","unrelated","TCUU",0,19.9999999999997,0,-0.5
"215",11788555,"160","unrelated2","TCUU",1,19.9999999999997,0,-0.5
"216",11788555,"160","cohort","TCUU",0,19.9999999999997,0,0.5
"217",11788555,"160","unrelated","TCUU",0,55.9999999999997,0,-0.5
"218",11788555,"160","unrelated2","TCUU",1,55.9999999999997,0,-0.5
"219",11788555,"160","cohort","TCUU",0,55.9999999999997,0,0.5
"220",11788555,"160","unrelated","TCUU",0,89.1000003814697,0,-0.5
"221",11788555,"160","unrelated2","TCUU",1,89.1000003814697,0,-0.5
"222",11788555,"160","cohort","TCUU",0,89.1000003814697,0,0.5
"223",11788555,"160","unrelated","TCUU",0,122.800000190735,100,-0.5
"224",11788555,"160","unrelated2","TCUU",1,122.800000190735,100,-0.5
"225",11788555,"160","cohort","TCUU",0,122.800000190735,100,0.5
"226",11788555,"160","unrelated","TCUU",0,155,100,-0.5
"227",11788555,"160","unrelated2","TCUU",1,155,100,-0.5
"228",11788555,"160","cohort","TCUU",0,155,100,0.5
"229",11788555,"160","unrelated","TCUU",0,195.400000095368,100,-0.5
"230",11788555,"160","unrelated2","TCUU",0,195.400000095368,100,-0.5
"231",11788555,"160","cohort","TCUU",0,195.400000095368,100,0.5
"232",11788555,"160","unrelated","TCUU",0,228.700000286103,200,-0.5
"233",11788555,"160","unrelated2","TCUU",0,228.700000286103,200,-0.5
"234",11788555,"160","cohort","TCUU",0,228.700000286103,200,0.5
"235",11788555,"160","unrelated","TCUU",0,262,200,-0.5
"236",11788555,"160","unrelated2","TCUU",0,262,200,-0.5
"237",11788555,"160","cohort","TCUU",1,262,200,0.5
"238",11788555,"160","unrelated","TCUU",0,295.300000190735,200,-0.5
"239",11788555,"160","unrelated2","TCUU",0,295.300000190735,200,-0.5
"240",11788555,"160","cohort","TCUU",1,295.300000190735,200,0.5
"241",11788555,"160","unrelated","TCUU",0,329.200000286103,300,-0.5
"242",11788555,"160","unrelated2","TCUU",0,329.200000286103,300,-0.5
"243",11788555,"160","cohort","TCUU",1,329.200000286103,300,0.5
"244",11788555,"160","unrelated","TCUU",0,362.700000286103,300,-0.5
"245",11788555,"160","unrelated2","TCUU",0,362.700000286103,300,-0.5
"246",11788555,"160","cohort","TCUU",1,362.700000286103,300,0.5
"247",11788555,"160","unrelated","TCUU",0,395.800000190735,300,-0.5
"248",11788555,"160","unrelated2","TCUU",0,395.800000190735,300,-0.5
"249",11788555,"160","cohort","TCUU",1,395.800000190735,300,0.5
"250",11788555,"160","unrelated","TCUU",0,428.800000190735,400,-0.5
"251",11788555,"160","unrelated2","TCUU",0,428.800000190735,400,-0.5
"252",11788555,"160","cohort","TCUU",1,428.800000190735,400,0.5
"253",11788555,"160","unrelated","TCUU",0,462.900000095368,400,-0.5
"254",11788555,"160","unrelated2","TCUU",0,462.900000095368,400,-0.5
"255",11788555,"160","cohort","TCUU",1,462.900000095368,400,0.5
"256",11788555,"160","unrelated","TCUU",0,495.700000286103,400,-0.5
"257",11788555,"160","unrelated2","TCUU",0,495.700000286103,400,-0.5
"258",11788555,"160","cohort","TCUU",1,495.700000286103,400,0.5
"259",11788555,"160","unrelated","TCUU",0,528.800000190735,500,-0.5
"260",11788555,"160","unrelated2","TCUU",0,528.800000190735,500,-0.5
"261",11788555,"160","cohort","TCUU",1,528.800000190735,500,0.5
"262",11788555,"160","unrelated","TCUU",0,563.800000190735,500,-0.5
"263",11788555,"160","unrelated2","TCUU",0,563.800000190735,500,-0.5
"264",11788555,"160","cohort","TCUU",0,563.800000190735,500,0.5
"265",11788555,"160","unrelated","TCUU",0,598.400000095368,500,-0.5
"266",11788555,"160","unrelated2","TCUU",0,598.400000095368,500,-0.5
"267",11788555,"160","cohort","TCUU",0,598.400000095368,500,0.5
"268",11788555,"160","unrelated","TCUU",0,632.800000190735,600,-0.5
"269",11788555,"160","unrelated2","TCUU",0,632.800000190735,600,-0.5
"270",11788555,"160","cohort","TCUU",0,632.800000190735,600,0.5
"271",11788555,"160","unrelated","TCUU",0,664.60000038147,600,-0.5
"272",11788555,"160","unrelated2","TCUU",0,664.60000038147,600,-0.5
"273",11788555,"160","cohort","TCUU",0,664.60000038147,600,0.5
"274",11788555,"160","unrelated","TCUU",0,700.90000009537,700,-0.5
"275",11788555,"160","unrelated2","TCUU",0,700.90000009537,700,-0.5
"276",11788555,"160","cohort","TCUU",0,700.90000009537,700,0.5
"277",11788555,"160","unrelated","TCUU",0,731,700,-0.5
"278",11788555,"160","unrelated2","TCUU",0,731,700,-0.5
"279",11788555,"160","cohort","TCUU",0,731,700,0.5
"280",11788555,"160","unrelated","TCUU",0,766.7000002861,700,-0.5
"281",11788555,"160","unrelated2","TCUU",0,766.7000002861,700,-0.5
"282",11788555,"160","cohort","TCUU",0,766.7000002861,700,0.5
"283",11788555,"160","unrelated","TCUU",0,1014.7000002861,1000,-0.5
